Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor
56,"J Peng, C Macdonald, B He, V Plachouras…","Incorporating term dependency in the DFR framework",2007,"… international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1277937","https://scholar.google.com/scholar?cites=15268654988149344434&as_sdt=5,47&sciodt=0,47&hl=en&num=20",1,"2017-12-15","","","","",0,0,0,0,56,5.60,11
21,"N Limsopatham, C Macdonald, R McCreadie…","Exploiting term dependence while handling negation in medical search",2012,"… international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2348471","https://scholar.google.com/scholar?cites=15808546680768974615&as_sdt=5,47&sciodt=0,47&hl=en&num=20",2,"2017-12-15","","","","",0,0,0,0,21,4.20,5
10,"M Petri, A Moffat, JS Culpepper","Score-safe term-dependency processing with hybrid indexes",2014,"… of the 37th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2609469","https://scholar.google.com/scholar?cites=9485021281817850669&as_sdt=5,47&sciodt=0,47&hl=en&num=20",3,"2017-12-15","","","","",0,0,0,0,10,3.33,3
8,"C Eickhoff, AP de Vries, T Hofmann","Modelling term dependence with copulas",2015,"… of the 38th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2767831","https://scholar.google.com/scholar?cites=13435444154830117018&as_sdt=5,47&sciodt=0,47&hl=en&num=20",4,"2017-12-15","","","","",0,0,0,0,8,4.00,3
10,"F Nikolaev, A Kotov, N Zhiltsov","Parameterized fielded term dependence models for ad-hoc entity retrieval from knowledge graph",2016,"… of the 39th International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2911545","https://scholar.google.com/scholar?cites=14069705800660300532&as_sdt=5,47&sciodt=0,47&hl=en&num=20",5,"2017-12-15","","","","",0,0,0,0,10,10.00,3
7,"C Lioma, JG Simonsen, B Larsen…","Non-compositional term dependence for information retrieval",2015,"… International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2767717","https://scholar.google.com/scholar?cites=7358367743809757270&as_sdt=5,47&sciodt=0,47&hl=en&num=20",6,"2017-12-15","","","","",0,0,0,0,7,3.50,2
0,"Y Xu, F Ding, B Wang","Utilizing phrase based semantic information for term dependency",2008,"… of the 31st annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1390540","",7,"2017-12-15","","","","",0,0,0,0,0,0.00,0
1,"X Lu","Improving Search using Proximity-Based Statistics",2015,"… 38th International ACM SIGIR Conference on Research …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2767847","https://scholar.google.com/scholar?cites=625206466995078347&as_sdt=5,47&sciodt=0,47&hl=en&num=20",8,"2017-12-15","","","","",0,0,0,0,1,0.50,1
5,"VP Lavrenko","Introduction to probabilistic models in IR",2010,"… 33rd international ACM SIGIR conference on Research …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1835677","https://scholar.google.com/scholar?cites=1421574973417616700&as_sdt=5,47&sciodt=0,47&hl=en&num=20",9,"2017-12-15","","","","",0,0,0,0,5,0.71,5
16,"P Bruza, D Song","A comparison of various approaches for using probabilistic dependencies in language modeling",2003,"… of the 26th annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=860530","https://scholar.google.com/scholar?cites=18017624916351688790&as_sdt=5,47&sciodt=0,47&hl=en&num=20",10,"2017-12-15","","","","",0,0,0,0,16,1.14,8
49,"M Bendersky, WB Croft, DA Smith","Two-stage query segmentation for information retrieval",2009,"… of the 32nd international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1572140","https://scholar.google.com/scholar?cites=11707634067001472062&as_sdt=5,47&sciodt=0,47&hl=en&num=20",11,"2017-12-15","","","","",0,0,0,0,49,6.13,16
9,"H Kim, I Choi, M Kim","Refining term weights of documents using term dependencies",2004,"… of the 27th annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1009116","https://scholar.google.com/scholar?cites=13026468328790369566&as_sdt=5,47&sciodt=0,47&hl=en&num=20",12,"2017-12-15","","","","",0,0,0,0,9,0.69,3
169,"Y Zhou, WB Croft","Query performance prediction in web search environments",2007,"… of the 30th annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1277835","https://scholar.google.com/scholar?cites=9097057474848204027&as_sdt=5,47&sciodt=0,47&hl=en&num=20",13,"2017-12-15","","","","",0,0,0,0,169,16.90,85
6,"K Cai, C Chen, K Liu, J Bu, P Huang","MRF based approach for sentence retrieval",2007,"… annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1277913","https://scholar.google.com/scholar?cites=14602705056288164431&as_sdt=5,47&sciodt=0,47&hl=en&num=20",14,"2017-12-15","","","","",0,0,0,0,6,0.60,1
184,"G Cao, JY Nie, J Bai","Integrating word relationships into language models",2005,"… of the 28th annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1076086","https://scholar.google.com/scholar?cites=8851428408199668119&as_sdt=5,47&sciodt=0,47&hl=en&num=20",15,"2017-12-15","","","","",0,0,0,0,184,15.33,61
